,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-11-01,水,0.0,0.0,6,3,2,0.0,0.0,0.0,2,12,15,5,18.0,4.0,0.0
2023-11-02,木,0.0,0.0,7,9,2,1.0,0.0,0.0,12,15,12,17,6.0,21.0,0.0
2023-11-03,金,0.0,0.0,8,26,8,5.0,2.0,0.0,8,14,17,7,5.0,0.0,0.0
2023-11-04,土,1.0,2.0,18,18,23,0.0,2.0,4.0,2,13,17,10,10.0,5.0,0.0
2023-11-05,日,0.0,0.0,5,18,12,5.0,0.0,9.0,13,14,2,5,8.0,0.0,0.0
2023-11-08,水,0.0,0.0,6,4,3,1.0,0.0,0.0,6,9,13,9,9.0,4.0,0.0
2023-11-09,木,0.0,1.0,10,8,10,0.0,0.0,0.0,6,7,10,4,5.0,1.0,0.0
2023-11-10,金,0.0,0.0,9,3,4,0.0,0.0,1.0,4,4,4,20,7.0,8.0,0.0
2023-11-11,土,0.0,0.0,15,23,13,2.0,2.0,0.0,8,3,9,14,11.0,7.0,0.0
2023-11-12,日,0.0,0.0,17,22,19,5.0,0.0,3.0,6,15,9,2,0.0,0.0,0.0
2023-11-15,水,0.0,5.0,43,16,2,0.0,0.0,1.0,3,10,14,8,8.0,0.0,0.0
2023-11-16,木,0.0,0.0,11,3,6,0.0,0.0,0.0,4,9,1,6,2.0,4.0,0.0
2023-11-17,金,0.0,1.0,3,11,11,0.0,0.0,0.0,2,7,6,16,9.0,8.0,0.0
2023-11-18,土,0.0,0.0,11,8,12,2.0,4.0,0.0,13,5,11,9,12.0,2.0,0.0
2023-11-19,日,0.0,0.0,13,10,17,0.0,0.0,1.0,8,3,11,3,0.0,0.0,0.0
2023-11-22,水,0.0,2.0,7,7,8,0.0,0.0,0.0,7,2,3,14,20.0,1.0,0.0
2023-11-23,木,0.0,0.0,19,22,9,0.0,1.0,0.0,11,5,17,13,0.0,0.0,0.0
2023-11-24,金,0.0,1.0,4,3,4,2.0,0.0,0.0,2,13,14,20,9.0,1.0,0.0
2023-11-25,土,0.0,2.0,10,5,6,0.0,0.0,1.0,2,7,12,5,10.0,16.0,0.0
2023-11-26,日,0.0,2.0,14,7,22,0.0,0.0,0.0,6,15,11,4,7.0,0.0,0.0
2023-11-29,水,0.0,0.0,21,7,7,2.0,0.0,0.0,13,10,12,5,10.0,7.0,0.0
2023-11-30,木,0.0,0.0,6,6,5,0.0,0.0,0.0,5,1,6,16,8.0,3.0,0.0
