,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-09-03,水,0.0,0.0,2890,24480,2390,11280,2200.0,0.0,4770.0,11430,26560,4970,6460.0,1580.0,0.0,0.0
2025-09-04,木,0.0,0.0,18760,8020,9900,5640,7400.0,1060.0,2420.0,7970,5460,24830,5900.0,4870.0,0.0,0.0
2025-09-05,金,0.0,2270.0,7750,2790,2440,9230,3270.0,0.0,0.0,13610,27880,18370,34480.0,20170.0,0.0,0.0
2025-09-06,土,0.0,0.0,35660,38460,12350,26660,6800.0,18610.0,8670.0,12120,33170,40540,32100.0,16180.0,0.0,4260.0
2025-09-07,日,0.0,0.0,27240,50220,16400,3830,0.0,2410.0,3830.0,22670,9760,13630,0.0,0.0,0.0,0.0
2025-09-10,水,0.0,3500.0,14310,9710,18660,4840,5560.0,4600.0,9900.0,26770,22730,24220,21340.0,0.0,0.0,0.0
2025-09-11,木,0.0,0.0,21080,18780,21330,2700,3930.0,8120.0,2000.0,19780,26090,15050,5700.0,5720.0,0.0,20080.0
2025-09-12,金,0.0,1210.0,8300,10130,3740,4520,4470.0,1610.0,9120.0,7190,2790,26050,22720.0,29420.0,0.0,0.0
2025-09-13,土,0.0,0.0,9130,46650,13410,5120,1210.0,26370.0,16210.0,35090,13180,19160,28450.0,7050.0,0.0,0.0
2025-09-14,日,0.0,1060.0,20080,15000,27560,11520,2810.0,7220.0,15600.0,33280,23430,20050,40610.0,25290.0,0.0,10770.0
2025-09-17,水,0.0,0.0,34110,1710,2420,3100,0.0,4990.0,10470.0,18670,10750,12080,17710.0,12430.0,0.0,0.0
2025-09-18,木,0.0,0.0,16250,18860,5690,2110,0.0,5250.0,2750.0,12030,13730,7530,6030.0,6970.0,0.0,0.0
2025-09-19,金,0.0,0.0,18660,7360,5840,1110,3790.0,1060.0,3160.0,12590,5830,54340,6380.0,19800.0,0.0,9630.0
2025-09-20,土,0.0,2210.0,26550,18010,16520,5120,1210.0,8120.0,1400.0,29060,36150,28100,29440.0,32330.0,0.0,0.0
2025-09-21,日,0.0,1060.0,12220,15730,10210,13110,6040.0,1060.0,15780.0,23160,14660,12850,0.0,0.0,0.0,0.0
2025-09-24,水,0.0,0.0,16820,6200,6450,2620,0.0,2510.0,2940.0,17340,29040,31070,27040.0,16090.0,0.0,0.0
2025-09-25,木,0.0,4930.0,17960,13140,3960,2170,1210.0,6730.0,19480.0,2420,19120,16100,14600.0,5600.0,0.0,7710.0
2025-09-26,金,0.0,0.0,24880,26630,2450,1210,2420.0,6230.0,2160.0,19990,52010,43640,31160.0,8270.0,0.0,0.0
2025-09-27,土,0.0,5770.0,18350,20720,13160,1060,8520.0,0.0,28030.0,27010,59380,44280,5980.0,31500.0,0.0,15660.0
2025-09-28,日,0.0,0.0,20560,20950,12570,8710,6050.0,0.0,19650.0,8600,7350,35750,0.0,0.0,0.0,0.0
